id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,www_2,tipoUniEco,latitud,longitud,fecha_alta,MAPS,IMAGEN 
8326211,09015722412004503000000000U2,A DIOS LE PIDO  RESTAURANTE BAR,OPERADORA DE JESUS SA DE CV,722412,Bares,11 a 30 personas,CALLE,GENOVA,AVENIDA,PASEO DE LA REFORMA,CALLE,ESTRASBURGO,CALLE,BELGRADO,23,,,,1,PLANTA ALTA,COLONIA,JUAREZ,,,,6600,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,945,18,,JSADALLAH@HOOTLOOK.COM,,http://,Fijo,19.42720253,-99.1645885,2019-11,"https://www.google.com/maps/@19.42720253,-99.1645885,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42720253,-99.1645885!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42720253%2C-99.1645885&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
9134813,09015722412005001000000000U6,ACADEMIA MEXICANA DE SOMMELIERS,ACADEMIA MEXICANA DE SOMMELIERS AC,722412,Bares,0 a 5 personas,CALLE,SAN LUIS POTOSI,AVENIDA,INSURGENTES SUR,EJE VIAL,3 PONIENTE (MEDELLIN),CALLE,QUER…TARO,221,,EDIFICIO SIN NOMBRE,PISO 1,,,COLONIA,ROMA NORTE,,,,6700,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1214,24,,,,http://,Fijo,19.41294789,-99.16564421,2019-11,"https://www.google.com/maps/@19.41294789,-99.16564421,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.41294789,-99.16564421!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.41294789%2C-99.16564421&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8137761,09007722412001252000000000U6,ADRENALINE WINGS,,722412,Bares,6 a 10 personas,EJE VIAL,8 SUR (CALZADA ERMITA IZTAPALAPA),CALLE,SAN MIGUEL,CALLE,CERRADA CEDRO,CALLE,CEDRO,3416,,,,,,PUEBLO,SANTA MARIA AZTAHUACAN,,,,9500,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,1710,22,,,,http://,Fijo,19.34815421,-99.01887516,2019-11,"https://www.google.com/maps/@19.34815421,-99.01887516,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.34815421,-99.01887516!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.34815421%2C-99.01887516&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
6201715,09015722411000223000000000U3,AFROCARIBE BAR DISCOTEQUE,INMOBILIARIA XESTEIRA ,722411,Centros nocturnos,11 a 30 personas,CALLE,LONDRES,CALLE,AMBERES,CALLE,GENOVA,CALLE,LIVERPOOL,132,,EDIFICIO SIN NOMBRE,PLANTA BAJA,,,COLONIA,JUAREZ,,,,6600,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,095A,1,5560457230,JRJRDURAN@HOTMAIL.COM,,http://,Fijo,19.42511502,-99.1644805,2010-07,"https://www.google.com/maps/@19.42511502,-99.1644805,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42511502,-99.1644805!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42511502%2C-99.1644805&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7255633,09014722412000941000000000U1,AGUA BENDITA,,722412,Bares,0 a 5 personas,EJE VIAL,1 PONIENTE (AVENIDA CUAUHTEMOC),CALLE,SANTISIMA,CALLE,PARROQUIA,AVENIDA,JUAREZ,0,SN,,,0,,COLONIA,SANTA CRUZ ATOYAC,,,,3310,9,CIUDAD DE M…XICO,14,BENITO JU¡REZ,1,Benito Ju·rez,083A,26,,,,http://,Fijo,19.36746988,-99.16213064,2019-11,"https://www.google.com/maps/@19.36746988,-99.16213064,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.36746988,-99.16213064!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.36746988%2C-99.16213064&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
9268519,09012722412001131000000000U2,AGUAMIEL Y PULQUES,,722412,Bares,0 a 5 personas,CALLE,JOSE MARIA MORELOS,AVENIDA,JOSE MARIA MORELOS,PRIVADA,NINGUNO,AUTOPISTA,M…XICO-CUERNAVACA,,SN,,,,,COLONIA,SAN MIGUEL TOPILEJO,,,,14500,9,CIUDAD DE M…XICO,12,TLALPAN,27,San Miguel Topilejo,2032,17,,,,http://,Fijo,19.20336237,-99.13862258,2020-11,"https://www.google.com/maps/@19.20336237,-99.13862258,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.20336237,-99.13862258!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.20336237%2C-99.13862258&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8890340,09010722412000681000000000U1,AJA TORO,,722412,Bares,0 a 5 personas,CALLE,PALMAS,CALLE,PRIVADA PALMAS,PRIVADA,OCOTE,PRIVADA,BARRANCA,11,,,,,,PUEBLO,TLACOYAQUE,,,,1800,9,CIUDAD DE M…XICO,10,¡LVARO OBREG”N,1,¡lvaro ObregÛn,1735,75,,,,http://,Fijo,19.32452199,-99.26846062,2019-11,"https://www.google.com/maps/@19.32452199,-99.26846062,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.32452199,-99.26846062!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.32452199%2C-99.26846062&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7805252,09008722412000111000000000U3,ALAS MICHES,,722412,Bares,0 a 5 personas,CALLE,CANTERA,AVENIDA,SAN BERNABE,CALLE,SAN BERNABE,CERRADA,MIQUIHUANA,,SN,,,,,COLONIA,VISTA HERMOSA,,,,10300,9,CIUDAD DE M…XICO,8,MAGDALENA CONTRERAS,1,La Magdalena Contreras,546,24,,,,http://,Fijo,19.31656593,-99.25620916,2019-11,"https://www.google.com/maps/@19.31656593,-99.25620916,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.31656593,-99.25620916!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.31656593%2C-99.25620916&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
6733032,09014722412000734000000000U0,ALBOA ENTERTEINMENT HALL,BOUTIQUE BOWLING DE MEX SA DE CV,722412,Bares,31 a 50 personas,CIRCUITO,INTERIOR (AVENIDA PATRIOTISMO),CALLE,PUENTE DE LA MORENA,CALLE,11 DE ABRIL,VIADUCTO,RIO BECERRA,201,,,,,,COLONIA,SAN PEDRO DE LOS PINOS,,,,3800,9,CIUDAD DE M…XICO,14,BENITO JU¡REZ,1,Benito Ju·rez,187,26,,,,http://,Fijo,19.39657944,-99.1808907,2016-10,"https://www.google.com/maps/@19.39657944,-99.1808907,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.39657944,-99.1808907!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.39657944%2C-99.1808907&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7298818,09010722412000571000000000U4,ALIMENTOS Y BEBIDAS EL FRAILE,,722412,Bares,0 a 5 personas,AVENIDA,DESIERTO DE LOS LEONES,CALLE,CAMINO REAL A MIXCOAC,CALLE,AZOYAPAN,CALLE,CAMINO REAL A MIXCOAC,,SN,,,,,COLONIA,SANTA ROSA XOCHIAC,,,,1830,9,CIUDAD DE M…XICO,10,¡LVARO OBREG”N,1,¡lvaro ObregÛn,1769,40,,,,http://,Fijo,19.32823818,-99.28030723,2019-11,"https://www.google.com/maps/@19.32823818,-99.28030723,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.32823818,-99.28030723!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.32823818%2C-99.28030723&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
